id,titulo,trecho,classe_candidata_fraca,classe
411532,11º Fonacor debate gestão estratégica e inovação em Corregedorias do Judiciário,"A Corregedoria Nacional de Justiça promove, nesta quarta-feira (29/4), a 11ª edição do Fórum Nacional das Corregedorias (Fonacor). O evento, que reúne representantes das Corregedorias do Poder Judiciário de todo o país, será realizado das 9h às 17h30, no auditório do Conselho da Justiça Federal (CJF), em Brasília (DF). O 11º Fonacor está estruturado para apresentar as principais ações, diretrizes ",3,
408968,TJGO reforça articulação para atendimento em saúde mental no sistema socioeducativo em Anápolis,"O juiz auxiliar da Presidência do Tribunal de Justiça do Estado de Goiás (TJGO), Reinaldo de Oliveira Dutra, que também coordena o Comitê Estadual Interinstitucional de Monitoramento da Política Antimanicomial (Ceimpa) — Eixo Socioeducativo — e o corregedor-geral da Justiça, Desembargador Marcus da Costa Ferreira, realizaram, nesta quinta-feira (26), uma visita ao Centro de Atendimento Socioeducat",5,
406053,Plenário do CNJ mantém afastamento de desembargador do TJMT,"O Plenário do Conselho Nacional de Justiça (CNJ) ratificou, durante a 1ª Sessão Extraordinária de 2026, realizada nesta terça-feira (3/3), a decisão de afastar de suas funções por tempo indeterminado o integrante da 3ª Câmara de Direito Privado do Tribunal de Justiça de Mato Grosso (TJMT), Desembargador Dirceu dos Santos. A Reclamação Disciplinar 0001156-76.2025.2.00.0000 foi instaurada para apura",8,
411727,Judiciário terá portal unificado para consulta de despesas de pessoal pendentes de quitação,"O Conselho Nacional de Justiça (CNJ) regulamentou a divulgação dos chamados passivos funcionais do Poder Judiciário, tipo de despesa referente a dívidas antigas pendentes de quitação. A publicização se dará por meio da criação de um portal que reúne informações sobre valores devidos a servidores e magistrados. O sistema, que será alimentado por todos os tribunais brasileiros, permitirá a consulta ",9,
415908,Democracia se aprende desde cedo: EJE promove atividade com estudantes em Rio Branco,"O Tribunal Regional Eleitoral do Acre (TRE-AC), por meio da Escola Judiciária Eleitoral (EJE), realizou mais uma edição do Programa Eleitor do Futuro na Escola Estadual Almada Brito, em Rio Branco. A atividade contemplou 94 estudantes do 4º e 5º anos do ensino fundamental e teve como objetivo estimular, desde a infância, a reflexão sobre cidadania, ética, democracia e participação social. A ação f",0,
414660,Proteção da infância e ‘contracheque único’ são temas da pauta do Plenário desta terça (26) no CNJ,"A proteção da criança e do adolescente contra a revitimização institucional será o foco de dois atos normativos que serão analisados pelo Plenário do Conselho Nacional de Justiça (CNJ) nesta terça-feira (26/5). Durante sua 8ª Sessão Ordinária de 2026, que acontece a partir das 10h, o CNJ também vai apreciar outros nove itens. A reunião será transmitida pelo canal do CNJ no YouTube. Os atos normati",8,
405236,Corregedoria Nacional de Justiça suspende levantamento de R$ 331 milhões em Alagoas,"A Corregedoria Nacional de Justiça determinou, nesta terça-feira (24/2), o sobrestamento imediato de qualquer levantamento de valores decorrente de decisões proferidas nos Agravos de Instrumento n. 0801912-60.2026.8.02.0000 e n. 0801809-53.2026.8.02.0000, no âmbito do Tribunal de Justiça de Alagoas (TJAL). A medida cautelar interrompe a liberação de R$ 331.568.997,90 em favor de herdeiros e advoga",8,
402978,TJDFT julga mais de 600 mil processos em 2025,"O Tribunal de Justiça do Distrito Federal e dos Territórios (TJDFT) julgou 607.441 processos e realizou 209.617 audiências durante o ano de 2025. Os números são do Painel Estatísticas do Conselho Nacional de Justiça (CNJ). Os processos julgados são aqueles que tiveram sentença e decisões terminativas proferidas tanto na 1ª quanto na 2ª instâncias. Na 1ª instância, foram julgadas 307.573 ações, o q",2,
406507,"Com nova diretoria, câmara nacional elabora novos enunciados para gestão de precatórios","A 1ª Reunião Técnica da Câmara Nacional de Gestores de Precatórios (CNGP), realizada no Tribunal de Justiça do Paraná (TJPR), encerrou-se na quarta-feira (4/3) com eleição da nova diretoria do órgão e a elaboração de enunciados de caráter orientativo para subsidiar decisões futuras e reduzir divergências interpretativas. A CNGP é o órgão de assessoramento técnico e jurídico dos tribunais de Justiç",9,
409099,Sistema SEI: acesso será interrompido entre terça (31/3) e quarta-feira (1/4),"O Departamento de Tecnologia da Informação e Comunicação do Conselho Nacional Justiça (CNJ) vai realizar uma manutenção em sua infraestrutura de TI, nesta terça (31/3) e quarta-feira (1/4). Durante o período, os serviços relacionados ao Sistema Eletrônico de Informações (SEI) ficarão indisponíveis. O SEI é uma plataforma de gestão de processos e documentos administrativos eletrônicos, criada para ",1,
410345,Escola Judicial de Goiás inicia projeto itinerante para atendimento à população em situação de rua,"A Escola Judicial do Tribunal de Justiça do Estado de Goiás (Ejug/TJGO) iniciou, na última terça-feira (7/4), o projeto de educação itinerante “Virando a página: educação e justiça”, voltado à população em situação de rua. A iniciativa está baseada não apenas no ensino-aprendizagem, mas também na escuta acolhedora e encaminhamento de demandas dessa população para as demais políticas públicas. A aç",5,
409236,Guaramirim (SC) sedia lançamento de curso do CNJ sobre acolhimento familiar,"“Crianças precisam de vínculos, de cuidado cotidiano e de pertencimento”. A declaração é do presidente do Conselho Nacional de Justiça (CNJ) e do Supremo Tribunal Federal (STF), Mnistro Edson Fachin, em vídeo exibido durante o lançamento do Curso de Formação sobre Serviço de Acolhimento Familiar, realizado nesta terça-feira (31/3), em Guaramirim (SC). A iniciativa capacita profissionais e fortalec",6,
414712,CNJ propõe nova Estratégia de Governança Digital e Inovação Tecnológica do Judiciário,"O Conselho Nacional de Justiça (CNJ) deu início ao processo de consolidação da nova Estratégia Nacional de Governança Digital e Inovação Tecnológica do Poder Judiciário (ENGI-JUD), que orientará as ações tecnológicas dos órgãos do Poder Judiciário no ciclo de 2027 a 2032. O Conselho promoverá um evento on-line em 27 de maio de 2026, com objetivo de apresentar e debater a minuta da nova Resolução c",1,
402714,Participação cidadã transforma gestão do SUS em Florianópolis,"O fortalecimento da participação comunitária, a contratação de novos profissionais de saúde, melhorias na infraestrutura do Centro de Saúde da Barra da Lagoa e a redução de conflitos judiciais estão entre os principais resultados alcançados pelo Conselho Local de Saúde da Barra da Lagoa, em Florianópolis (SC). Com um modelo híbrido de reuniões presenciais e remotas, a iniciativa ampliou o engajame",2,
413076,GT Paz nas Arenas visita o TJBA e debate propostas para aprimorar a segurança em eventos esportivos,"O Grupo de Trabalho Paz nas Arenas, do Conselho Nacional de Justiça, fez uma visita institucional ao Tribunal de Justiça da Bahia, onde foi recebido pelo Desembargador Presidente José Rotondano, na sexta-feira (8/5). Em pauta, a discussão de estratégias voltadas a promover segurança e aprimorar a atuação do sistema de justiça durante eventos esportivos de grande porte, tendo como base a Resolução ",3,
408524,Ferramenta digital do CNJ faz um ano e transforma a rotina dos gabinetes,"O Gabinete do Juízo , ferramenta digital desenvolvida pelo Programa Justiça 4.0 , completou um ano de uso nos tribunais brasileiros, contribuindo para mais eficiência e organização na rotina de magistradas, magistrados e equipes. A solução reúne, em um único ambiente, funcionalidades como a elaboração de despachos, decisões e sentenças, assinatura de atos e expedientes, gestão da agenda de audiênc",1,
405547,Judiciário aposta em conciliação para conter judicialização da saúde,"Pela primeira vez desde o início da série histórica, a judicialização da saúde apresentou queda no número de novos processos no país. Dados do Painel de Estatísticas Processuais de Direito à Saúde indicam redução global de quase 1% nas ações protocoladas. O recuo foi puxado principalmente pela saúde pública, que registrou diminuição de 6%, enquanto a saúde suplementar teve alta de 6% — ainda assim",2,
409965,Encontro nacional em MG discute papel das alternativas penais,"“Justiça restaurativa e medidas diversas de prisão” foi a palestra que abriu o segundo dia do III Encontro Nacional de Alternativas Penais (Enap), nesta quinta-feira (9/4), em Belo Horizonte. A atividade, que segue até sexta-feira (10/4), é promovida pela Escola Judicial Desembargador Edésio Fernandes (Ejef) do Tribunal de Justiça de Minas Gerais (TJMG). O encontro capacita os participantes a reco",5,
